,Year,Month,TagName,Month_Count
0,2019,1,rules,18
1,2019,1,american-football,10
2,2019,1,nfl,8
3,2019,1,pool,4
4,2019,1,snooker,3
5,2019,1,baseball,3
6,2019,1,football,3
7,2019,1,basketball,3
8,2019,1,nba,3
9,2019,1,trivia,2
10,2019,1,cricket,2
11,2019,1,officiating,2
12,2019,1,mlb,1
13,2019,1,finances,1
14,2019,1,tennis,1
15,2019,1,postseason,1
16,2019,1,transaction,1
17,2019,1,field-goal,1
18,2019,1,quarterback,1
19,2019,1,rugby-union,1
20,2019,1,table-tennis,1
21,2019,1,serve,1
22,2019,1,volleyball,1
23,2019,1,hall-of-fame,1
24,2019,1,terminology,1
25,2019,1,statistics,1
26,2019,1,formula-1,1
27,2019,2,rules,11
28,2019,2,football,6
29,2019,2,basketball,4
30,2019,2,nba,3
31,2019,2,cricket,3
32,2019,2,equipment,3
33,2019,2,officiating,3
34,2019,2,trivia,2
35,2019,2,american-football,2
36,2019,2,nfl,2
37,2019,2,tennis,2
38,2019,2,squash,2
39,2019,2,baseball,2
40,2019,2,super-bowl,1
41,2019,2,inline-hockey,1
42,2019,2,pool,1
43,2019,2,fiba,1
44,2019,2,wicket,1
45,2019,2,ranking,1
46,2019,2,gaelic-football,1
47,2019,2,kabaddi,1
48,2019,2,tie-breaker,1
49,2019,2,serve,1
50,2019,2,mma,1
51,2019,2,ufc,1
52,2019,2,coaching,1
53,2019,2,badminton,1
54,2019,2,racket,1
55,2019,2,qualifying,1
56,2019,2,terminology,1
57,2019,2,formula-1,1
58,2019,2,softball,1
59,2019,2,english-premier-league,1
60,2019,3,football,7
61,2019,3,rules,6
62,2019,3,basketball,6
63,2019,3,cricket,4
64,2019,3,nba,4
65,2019,3,finances,3
66,2019,3,history,2
67,2019,3,nfl,2
68,2019,3,equipment,2
69,2019,3,officiating,2
70,2019,3,statistics,2
71,2019,3,terminology,1
72,2019,3,dancing,1
73,2019,3,speed-skating,1
74,2019,3,world-cup,1
75,2019,3,scoring,1
76,2019,3,table-tennis,1
77,2019,3,racket,1
78,2019,3,ice-hockey,1
79,2019,3,pool,1
80,2019,3,english-premier-league,1
81,2019,3,champions-league,1
82,2019,3,volleyball,1
83,2019,3,goalkeeper,1
84,2019,3,tennis,1
85,2019,3,media,1
86,2019,3,wicket,1
87,2019,3,snooker,1
88,2019,3,collegiate,1
89,2019,3,uefa,1
90,2019,3,auto-racing,1
91,2019,4,rules,9
92,2019,4,baseball,7
93,2019,4,ice-hockey,6
94,2019,4,trivia,6
95,2019,4,cricket,5
96,2019,4,nhl,5
97,2019,4,football,5
98,2019,4,nba,4
99,2019,4,statistics,4
100,2019,4,snooker,3
101,2019,4,basketball,3
102,2019,4,scoring,3
103,2019,4,officiating,3
104,2019,4,postseason,3
105,2019,4,terminology,2
106,2019,4,mlb,2
107,2019,4,history,2
108,2019,4,stanley-cup,2
109,2019,4,video-review,2
110,2019,4,lacrosse,1
111,2019,4,auto-racing,1
112,2019,4,formula-e,1
113,2019,4,collegiate,1
114,2019,4,climbing,1
115,2019,4,indoor-climbing,1
116,2019,4,strategy,1
117,2019,4,softball,1
118,2019,4,cycling,1
119,2019,4,performance,1
120,2019,4,triathlon,1
121,2019,4,equipment,1
122,2019,4,olympics,1
123,2019,4,tennis,1
124,2019,4,serve,1
