,Year,Month,TagName,Month_Count
0,2017,1,exercise,7
1,2017,1,workout-routines,7
2,2017,1,running,6
3,2017,1,strength,6
4,2017,1,muscle-gain,6
5,2017,1,weightlifting,5
6,2017,1,exercise-equipment,4
7,2017,1,workout,4
8,2017,1,health,4
9,2017,1,flexibility,4
10,2017,1,weight-gain,3
11,2017,1,stretching,3
12,2017,1,yoga,3
13,2017,1,injury-prevention,3
14,2017,1,shoulders,3
15,2017,1,walking,3
16,2017,1,bodybuilding,3
17,2017,1,training,3
18,2017,1,swimming,3
19,2017,1,bodyweight-exercises,2
20,2017,1,body-fat,2
21,2017,1,diet,2
22,2017,1,food,2
23,2017,1,strength-training,2
24,2017,1,powerlifting,2
25,2017,1,muscle-soreness,2
26,2017,1,growth,2
27,2017,1,crossfit,2
28,2017,1,long-distance-running,2
29,2017,1,chest,2
30,2017,1,pain,2
31,2017,1,cardio,2
32,2017,1,home-exercise,2
33,2017,1,intermittent-fasting,2
34,2017,1,supplements,2
35,2017,1,muscle-imbalance,2
36,2017,1,lifting,2
37,2017,1,gym,2
38,2017,1,weights,2
39,2017,1,warm-up,2
40,2017,1,exercise-technique,2
41,2017,1,relaxation,1
42,2017,1,machine,1
43,2017,1,rowing-machine,1
44,2017,1,pull-ups,1
45,2017,1,chin-ups,1
46,2017,1,progress,1
47,2017,1,injury,1
48,2017,1,rotator-cuff,1
49,2017,1,shoulder-cuff,1
50,2017,1,eating-habits,1
51,2017,1,olympic-weightlifting,1
52,2017,1,biomechanics,1
53,2017,1,bellyfat,1
54,2017,1,joints,1
55,2017,1,running-training-plan,1
56,2017,1,sugar,1
57,2017,1,body-measurements,1
58,2017,1,feet,1
59,2017,1,clothing,1
60,2017,1,form,1
61,2017,1,hands,1
62,2017,1,technique,1
63,2017,1,treadmill,1
64,2017,1,jogging,1
65,2017,1,heart-rate,1
66,2017,1,soreness,1
67,2017,1,low-carb,1
68,2017,1,ketogenic-diet,1
69,2017,1,pre-workout,1
70,2017,1,push-ups,1
71,2017,1,heart-rate-monitor,1
72,2017,1,workout-types,1
73,2017,1,gymnastics,1
74,2017,1,rings,1
75,2017,1,lower-back,1
76,2017,1,mobility,1
77,2017,1,sleep,1
78,2017,1,isolation,1
79,2017,1,hiit,1
80,2017,1,knees,1
81,2017,1,knee-pain,1
82,2017,1,tendons,1
83,2017,1,dumbbells,1
84,2017,1,programs,1
85,2017,1,health-risk,1
86,2017,1,back,1
87,2017,1,muscle-recovery,1
88,2017,1,calisthenics,1
89,2017,1,safety,1
90,2017,1,athletic-performance,1
91,2017,1,weight-loss,1
92,2017,1,recovery,1
93,2017,1,cold,1
94,2017,1,physiology,1
95,2017,2,weight-loss,4
96,2017,2,health,4
97,2017,2,running,3
98,2017,2,workout-routines,3
99,2017,2,swimming,3
100,2017,2,muscle-gain,3
101,2017,2,injury-prevention,3
102,2017,2,training,3
103,2017,2,workout,2
104,2017,2,mobility,2
105,2017,2,push-ups,2
106,2017,2,exercise,2
107,2017,2,weightlifting,2
108,2017,2,muscle,2
109,2017,2,strength,2
110,2017,2,pull-ups,2
111,2017,2,abdominals,2
112,2017,2,recovery,2
113,2017,2,muscle-recovery,2
114,2017,2,testosterone,2
115,2017,2,diet,1
116,2017,2,anaerobic,1
117,2017,2,lactate-threshold,1
118,2017,2,pain,1
119,2017,2,rock-climbing,1
120,2017,2,forearm,1
121,2017,2,reps,1
122,2017,2,deadlifts,1
123,2017,2,chin-ups,1
124,2017,2,joints,1
125,2017,2,strength-training,1
126,2017,2,gym,1
127,2017,2,bicycling,1
128,2017,2,form,1
129,2017,2,foot-care,1
130,2017,2,performance,1
131,2017,2,hiit,1
132,2017,2,getting-in-shape,1
133,2017,2,bench-press,1
134,2017,2,rotator-cuff,1
135,2017,2,barbell-rows,1
136,2017,2,legs,1
137,2017,2,weights,1
138,2017,2,squats,1
139,2017,2,stretching,1
140,2017,2,flexibility,1
141,2017,2,breathing,1
142,2017,2,sex,1
143,2017,2,heart-rate,1
144,2017,2,bodybuilding,1
145,2017,2,shape,1
146,2017,2,hormones,1
147,2017,2,body-fat,1
148,2017,2,meat,1
149,2017,2,hip,1
150,2017,2,power,1
151,2017,2,muscle-ups,1
152,2017,2,cardio,1
153,2017,2,calories,1
154,2017,3,workout-routines,10
155,2017,3,workout,8
156,2017,3,bodybuilding,6
157,2017,3,weightlifting,6
158,2017,3,muscle,5
159,2017,3,exercise,5
160,2017,3,running,4
161,2017,3,pull-ups,4
162,2017,3,muscle-gain,4
163,2017,3,nutrition,4
164,2017,3,weight-loss,4
165,2017,3,strength,3
166,2017,3,strength-training,3
167,2017,3,genetics,3
168,2017,3,abdominals,3
169,2017,3,stretching,3
170,2017,3,bicycling,3
171,2017,3,muscle-mass,3
172,2017,3,bodyweight-exercises,3
173,2017,3,speed,2
174,2017,3,powerlifting,2
175,2017,3,back,2
176,2017,3,vo2max,2
177,2017,3,endurance,2
178,2017,3,health,2
179,2017,3,testosterone,2
180,2017,3,training,2
181,2017,3,diet,2
182,2017,3,recovery,2
183,2017,3,injury-prevention,2
184,2017,3,hypertrophy,2
185,2017,3,gym,2
186,2017,3,body-fat,2
187,2017,3,fat,2
188,2017,3,resistancetraining,2
189,2017,3,push-ups,2
